NAME,B01001_001E,state,county,tract,block group
Block Group 1; Census Tract 9610.01; Bartow County; Georgia,564,13,015,961001,1
Block Group 2; Census Tract 9610.01; Bartow County; Georgia,2351,13,015,961001,2
Block Group 3; Census Tract 9610.01; Bartow County; Georgia,1404,13,015,961001,3
Block Group 4; Census Tract 9610.01; Bartow County; Georgia,1107,13,015,961001,4
Block Group 1; Census Tract 9610.02; Bartow County; Georgia,367,13,015,961002,1
Block Group 2; Census Tract 9610.02; Bartow County; Georgia,1543,13,015,961002,2
Block Group 3; Census Tract 9610.02; Bartow County; Georgia,1369,13,015,961002,3
Block Group 1; Census Tract 1501.01; Butts County; Georgia,1899,13,035,150101,1
Block Group 2; Census Tract 1501.01; Butts County; Georgia,2318,13,035,150101,2
Block Group 1; Census Tract 1501.02; Butts County; Georgia,1322,13,035,150102,1
Block Group 2; Census Tract 1501.02; Butts County; Georgia,1563,13,035,150102,2
Block Group 3; Census Tract 1501.02; Butts County; Georgia,1118,13,035,150102,3
Block Group 4; Census Tract 1501.02; Butts County; Georgia,1077,13,035,150102,4
Block Group 1; Census Tract 1502.01; Butts County; Georgia,1218,13,035,150201,1
Block Group 2; Census Tract 1502.01; Butts County; Georgia,569,13,035,150201,2
Block Group 3; Census Tract 1502.01; Butts County; Georgia,1356,13,035,150201,3
Block Group 4; Census Tract 1502.01; Butts County; Georgia,1844,13,035,150201,4
Block Group 1; Census Tract 1502.02; Butts County; Georgia,980,13,035,150202,1
Block Group 2; Census Tract 1502.02; Butts County; Georgia,1644,13,035,150202,2
Block Group 1; Census Tract 1503; Butts County; Georgia,1496,13,035,150300,1
Block Group 2; Census Tract 1503; Butts County; Georgia,3438,13,035,150300,2
Block Group 3; Census Tract 1503; Butts County; Georgia,992,13,035,150300,3
Block Group 4; Census Tract 1503; Butts County; Georgia,1722,13,035,150300,4
Block Group 5; Census Tract 1503; Butts County; Georgia,966,13,035,150300,5
Block Group 1; Census Tract 9101.01; Carroll County; Georgia,1201,13,045,910101,1
Block Group 2; Census Tract 9101.01; Carroll County; Georgia,1761,13,045,910101,2
Block Group 3; Census Tract 9101.01; Carroll County; Georgia,1914,13,045,910101,3
Block Group 4; Census Tract 9101.01; Carroll County; Georgia,1576,13,045,910101,4
Block Group 1; Census Tract 9101.03; Carroll County; Georgia,2217,13,045,910103,1
Block Group 2; Census Tract 9101.03; Carroll County; Georgia,2161,13,045,910103,2
Block Group 3; Census Tract 9101.03; Carroll County; Georgia,1064,13,045,910103,3
Block Group 1; Census Tract 9101.05; Carroll County; Georgia,1162,13,045,910105,1
Block Group 2; Census Tract 9101.05; Carroll County; Georgia,1841,13,045,910105,2
Block Group 3; Census Tract 9101.05; Carroll County; Georgia,1558,13,045,910105,3
Block Group 1; Census Tract 9101.06; Carroll County; Georgia,3775,13,045,910106,1
Block Group 2; Census Tract 9101.06; Carroll County; Georgia,1862,13,045,910106,2
Block Group 3; Census Tract 9101.06; Carroll County; Georgia,369,13,045,910106,3
Block Group 1; Census Tract 9102.01; Carroll County; Georgia,1938,13,045,910201,1
Block Group 2; Census Tract 9102.01; Carroll County; Georgia,1707,13,045,910201,2
